T	PID	COMM	SADDR	DADDR	SPORT	DPORT	ATTACK	Tiempo
A	1344	TCP	192.168.4.120	207.210.64.84	2582	80	0	1616.635788
X	1331	TCP	192.168.4.120	207.210.64.84	2573	80	0	1616.70589
X	1343	TCP	192.168.4.121	65.54.81.171	51230	80	0	1619.468802
A	1345	TCP	192.168.4.121	65.54.81.210	51231	80	0	1619.647505
A	1346	TCP	192.168.4.121	65.54.81.171	51232	80	0	1634.396907
A	1347	TCP	192.168.4.120	174,133,126,130	2583	80	0	1636.353813
X	1329	TCP	192.168.4.120	174,133,126,130	2571	80	0	1636.425682
A	1348	TCP	192.168.4.120	68,142,205,137	2584	80	0	1636.509558
X	1348	TCP	192.168.4.120	68,142,205,137	2584	80	0	1636.661165
A	1349	TCP	192.168.4.120	68,142,205,137	2585	80	0	1636.661364
A	1350	TCP	192.168.4.120	68,142,205,139	2586	80	0	1637.101874
X	1349	TCP	192.168.4.120	68,142,205,137	2585	80	0	1637.174713
A	1351	TCP	192.168.2.112	192.168.5.122	4942	110	0	1637.768655
X	1351	TCP	192.168.2.112	192.168.5.122	4942	110	0	1637.784847
X	1345	TCP	192.168.4.121	65.54.81.210	51231	80	0	1639.468273
A	1352	TCP	192.168.4.120	98.137.80.31	2587	80	0	1640.7071
X	1334	TCP	192.168.4.120	98.137.80.31	2576	80	0	1640.742703
X	1350	TCP	192.168.4.120	68,142,205,139	2586	80	0	1640.795974
A	1353	TCP	192.168.4.121	65.54.81.62	51233	80	0	1649.396447
X	1346	TCP	192.168.4.121	65.54.81.171	51232	80	0	1649.474215
A	1354	TCP	192.168.1.103	192.168.5.122	1760	143	0	1656.357163
X	1354	TCP	192.168.1.103	192.168.5.122	1760	143	0	1656.382506
A	1355	TCP	192.168.1.103	192.168.5.122	1761	143	0	1656.384919
X	1355	TCP	192.168.1.103	192.168.5.122	1761	143	0	1656.410052
A	1356	TCP	192.168.4.121	65.54.81.30	51234	80	0	1664.396226
X	1353	TCP	192.168.4.121	65.54.81.62	51233	80	0	1664.474988
A	1357	TCP	192.168.1.104	85.17.154.19	15932	80	0	1664.838472
A	1358	TCP	192.168.2.108	192.168.5.122	1278	110	0	1670.271389
X	1358	TCP	192.168.2.108	192.168.5.122	1278	110	0	1670.287289
A	1359	TCP	192.168.1.102	192.168.1.101	2405	139	0	1673.650663
X	1359	TCP	192.168.1.102	192.168.1.101	2405	139	0	1673.6595
A	1360	TCP	192.168.4.121	65.54.81.30	51235	80	0	1679.395892
X	1356	TCP	192.168.4.121	65.54.81.30	51234	80	0	1679.427774
X	1315	TCP	192.168.2.110	69.192.16.80	3994	80	0	1681.144125
X	1314	TCP	192.168.2.110	69.192.16.80	3993	80	0	1681.145349
X	1325	TCP	192.168.4.120	207.241.148.88	2567	80	0	1683.555377
X	1326	TCP	192.168.4.120	207.241.148.80	2568	80	0	1683.696279
X	1327	TCP	192.168.4.120	207.241.148.80	2569	80	0	1684.618189
X	1341	TCP	192.168.4.120	192.168.5.122	2580	80	0	1694.273111
A	1361	TCP	192.168.4.121	65.54.81.24	51236	80	0	1694.395552
X	1360	TCP	192.168.4.121	65.54.81.30	51235	80	0	1694.473288
A	1362	TCP	192.168.2.113	209.237.150.20	4542	80	0	1701.660681
A	1363	TCP	192.168.4.121	65.54.81.62	51237	80	0	1709.394864
X	1361	TCP	192.168.4.121	65.54.81.24	51236	80	0	1709.472563
A	1364	TCP	192.168.4.119	192.168.5.122	4567	110	0	1721.721995
X	1364	TCP	192.168.4.119	192.168.5.122	4567	110	0	1721.738434
X	1328	TCP	192.168.4.120	206,123,111,173	2570	80	0	1722.88075
A	1365	TCP	192.168.4.121	65.54.81.62	51238	80	0	1724.394714
X	1363	TCP	192.168.4.121	65.54.81.62	51237	80	0	1724.426343
A	1366	TCP	192.168.2.110	67.220.214.51	3999	80	0	1727.017807
A	1367	TCP	192.168.2.110	67.220.214.51	4000	80	0	1727.768207
X	1366	TCP	192.168.2.110	67.220.214.51	3999	80	0	1727.866152
A	1368	TCP	192.168.2.110	67.220.214.50	4001	80	0	1728.055501
X	1367	TCP	192.168.2.110	67.220.214.51	4000	80	0	1728.087777
X	1368	TCP	192.168.2.110	67.220.214.50	4001	80	0	1728.376093
A	1369	TCP	192.168.2.110	67.220.214.51	4002	80	0	1728.811642
X	1369	TCP	192.168.2.110	67.220.214.51	4002	80	0	1729.137363
A	1370	TCP	192.168.1.104	178.32.87.172	15933	80	0	1737.893484
A	1371	TCP	192.168.4.121	65.54.81.62	51239	80	0	1739.397425
X	1344	TCP	192.168.4.120	207.210.64.84	2582	80	0	1739.411297
X	1365	TCP	192.168.4.121	65.54.81.62	51238	80	0	1739.430346
X	1335	TCP	192.168.4.120	69.63.189.16	2577	80	0	1741.496502
X	1336	TCP	192.168.4.120	69.63.189.16	2578	80	0	1741.683634
A	1372	TCP	192.168.4.121	207.46.216.54	51240	80	0	1744.922232
A	1373	TCP	192.168.4.121	8.12.202.126	51241	80	0	1745.190814
A	1374	TCP	192.168.1.103	208,113,162,153	1762	80	0	1753.502309
A	1375	TCP	192.168.1.103	72.47.249.39	1763	80	0	1753.651983
A	1376	TCP	192.168.1.103	72.47.249.39	1764	80	0	1754.266016
X	1375	TCP	192.168.1.103	72.47.249.39	1763	80	0	1754.385985
A	1377	TCP	192.168.4.121	65.54.81.171	51242	80	0	1754.393897
X	1371	TCP	192.168.4.121	65.54.81.62	51239	80	0	1754.471664
A	1378	TCP	192.168.2.112	192.168.2.113	4943	139	0	1754.635502
X	1378	TCP	192.168.2.112	192.168.2.113	4943	139	0	1754.643587
A	1379	TCP	192.168.1.103	72.47.249.39	1765	80	0	1754.675253
X	1376	TCP	192.168.1.103	72.47.249.39	1764	80	0	1754.788966
A	1380	TCP	192.168.1.103	72.47.249.39	1766	80	0	1755.137112
X	1379	TCP	192.168.1.103	72.47.249.39	1765	80	0	1755.242606
A	1381	TCP	192.168.1.103	72.47.249.39	1767	80	0	1755.475057
X	1373	TCP	192.168.4.121	8.12.202.126	51241	80	0	1755.558933
X	1380	TCP	192.168.1.103	72.47.249.39	1766	80	0	1755.580414
A	1382	TCP	192.168.1.103	72.47.249.39	1768	80	0	1755.927513
A	1383	TCP	192.168.2.106	192.168.5.122	3188	110	0	1755.982943
X	1383	TCP	192.168.2.106	192.168.5.122	3188	110	0	1755.99809
X	1381	TCP	192.168.1.103	72.47.249.39	1767	80	0	1756.031092
A	1384	TCP	192.168.1.103	72.47.249.39	1769	80	0	1756.266231
X	1382	TCP	192.168.1.103	72.47.249.39	1768	80	0	1756.372908
A	1385	TCP	192.168.1.103	72.47.249.39	1770	80	0	1756.613154
X	1384	TCP	192.168.1.103	72.47.249.39	1769	80	0	1756.717688
A	1386	TCP	192.168.1.103	72.47.249.39	1771	80	0	1757.063528
X	1385	TCP	192.168.1.103	72.47.249.39	1770	80	0	1757.168404
X	1386	TCP	192.168.1.103	72.47.249.39	1771	80	0	1757.51167
A	1387	TCP	192.168.2.112	192.168.5.122	4944	110	0	1757.794953
X	1387	TCP	192.168.2.112	192.168.5.122	4944	110	0	1757.809971
X	1338	TCP	192.168.1.104	178.32.87.172	15931	80	0	1759.772314
A	1388	TCP	192.168.4.121	8.12.202.126	51243	80	0	1761.73573
X	1347	TCP	192.168.4.120	174,133,126,130	2583	80	0	1762.800976
A	1389	TCP	192.168.3.115	74,220,195,150	3883	80	0	1762.997189
A	1390	TCP	131,202,240,218	192.168.5.122	37777	80	0	1765.391153
X	1390	TCP	131,202,240,218	192.168.5.122	37777	80	0	1765.422739
A	1391	TCP	192.168.1.101	209.62.20.200	4231	80	0	1766.136976
A	1392	TCP	192.168.3.115	74,220,195,150	3884	443	0	1766.188459
X	1389	TCP	192.168.3.115	74,220,195,150	3883	80	0	1766.274902
A	1393	TCP	192.168.1.101	205.178.187.13	4233	80	0	1766.319753
A	1394	TCP	192.168.1.101	205.178.187.11	4234	80	0	1766.442486
X	1392	TCP	192.168.3.115	74,220,195,150	3884	443	0	1766.779156
A	1395	TCP	192.168.1.101	209.62.20.200	4235	80	0	1766.802763
X	1391	TCP	192.168.1.101	209.62.20.200	4231	80	0	1766.866526
A	1396	TCP	192.168.1.101	209.62.20.200	4238	80	0	1766.955378
X	1395	TCP	192.168.1.101	209.62.20.200	4235	80	0	1767.028423
A	1397	TCP	192.168.1.101	209.62.20.200	4239	80	0	1767.10606
X	1396	TCP	192.168.1.101	209.62.20.200	4238	80	0	1767.184821
A	1398	TCP	192.168.1.101	209.62.20.200	4240	80	0	1767.26213
X	1397	TCP	192.168.1.101	209.62.20.200	4239	80	0	1767.333215
A	1399	TCP	192.168.1.101	209.62.20.200	4243	80	0	1767.412976
X	1398	TCP	192.168.1.101	209.62.20.200	4240	80	0	1767.48387
A	1400	TCP	192.168.1.101	209.62.20.200	4244	80	0	1767.562854
X	1399	TCP	192.168.1.101	209.62.20.200	4243	80	0	1767.633535
A	1401	TCP	192.168.1.101	209.62.20.200	4245	80	0	1767.712
X	1400	TCP	192.168.1.101	209.62.20.200	4244	80	0	1767.783431
X	1401	TCP	192.168.1.101	209.62.20.200	4245	80	0	1767.935084
X	1352	TCP	192.168.4.120	98.137.80.31	2587	80	0	1769.160078
A	1402	TCP	192.168.4.121	65.54.81.210	51244	80	0	1769.393267
X	1377	TCP	192.168.4.121	65.54.81.171	51242	80	0	1769.471658
X	1342	TCP	192.168.4.120	174.121.74.194	2581	80	0	1772.206831
X	1388	TCP	192.168.4.121	8.12.202.126	51243	80	0	1772.980442
X	1394	TCP	192.168.1.101	205.178.187.11	4234	80	0	1778.837978
A	1403	TCP	192.168.4.121	8.12.202.126	51245	80	0	1781.344429
A	1404	TCP	192.168.4.121	142.166.14.78	51246	80	0	1781.486626
X	1403	TCP	192.168.4.121	8.12.202.126	51245	80	0	1781.507259
A	1405	TCP	192.168.4.121	8.12.202.126	51247	80	0	1782.015581
A	1406	TCP	192.168.4.121	65.54.81.171	51248	80	0	1784.393273
X	1402	TCP	192.168.4.121	65.54.81.210	51244	80	0	1784.470679
X	1357	TCP	192.168.1.104	85.17.154.19	15932	80	0	1785.162143
X	1405	TCP	192.168.4.121	8.12.202.126	51247	80	0	1792.370499
A	1407	TCP	192.168.2.110	64.94.104.143	4003	80	0	1796.002398
A	1408	TCP	192.168.2.110	12.129.19.128	4004	80	0	1796.028376
A	1409	TCP	192.168.2.110	173.222.140.32	4005	80	0	1796.211398
A	1410	TCP	192.168.2.110	72.21.91.19	4006	80	0	1796.360887
A	1411	TCP	192.168.2.110	184.51.176.80	4007	80	0	1797.137597
A	1412	TCP	192.168.2.110	142.166.14.85	4008	80	0	1797.761427
A	1413	TCP	192.168.2.110	12.129.19.153	4009	80	0	1798.895668
A	1414	TCP	192.168.4.121	65.54.81.62	51249	80	0	1799.392392
X	1406	TCP	192.168.4.121	65.54.81.171	51248	80	0	1799.469701
A	1415	TCP	192.168.4.121	8.12.202.126	51250	80	0	1799.968324
X	1415	TCP	192.168.4.121	8.12.202.126	51250	80	0	1800.154993
A	1416	TCP	192.168.4.121	65.55.53.233	51251	80	0	1800.165418
A	1417	TCP	192.168.2.110	12.129.19.153	4010	80	0	1800.324479
X	1413	TCP	192.168.2.110	12.129.19.153	4009	80	0	1800.455303
A	1418	TCP	192.168.4.121	8.12.202.126	51252	80	0	1800.843043
X	1418	TCP	192.168.4.121	8.12.202.126	51252	80	0	1812.104336
A	1419	TCP	192.168.4.121	65.54.81.30	51253	80	0	1814.39219
X	1414	TCP	192.168.4.121	65.54.81.62	51249	80	0	1814.469478
A	1420	TCP	192.168.2.110	192.168.5.122	4011	80	0	1828.830206
A	1421	TCP	192.168.4.121	65.54.81.30	51254	80	0	1829.391943
X	1419	TCP	192.168.4.121	65.54.81.30	51253	80	0	1829.424241
A	1422	TCP	192.168.2.110	69.84.133.138	4012	80	0	1833.12443
A	1423	TCP	192.168.2.110	72.21.91.19	4013	80	0	1833.208127
X	1410	TCP	192.168.2.110	72.21.91.19	4006	80	0	1833.263832
A	1424	TCP	192.168.2.110	142.166.14.77	4014	80	0	1833.691344
X	1393	TCP	192.168.1.101	205.178.187.13	4233	80	0	1837.216842
X	1404	TCP	192.168.4.121	142.166.14.78	51246	80	0	1842.103551
A	1425	TCP	192.168.4.121	192.168.5.122	51255	143	0	1842.849608
X	1425	TCP	192.168.4.121	192.168.5.122	51255	143	0	1842.93249
A	1426	TCP	192.168.4.121	192.168.5.122	51256	143	0	1842.946583
X	1426	TCP	192.168.4.121	192.168.5.122	51256	143	0	1842.974609
A	1427	TCP	192.168.4.121	192.168.5.122	51257	143	0	1842.987487
X	1427	TCP	192.168.4.121	192.168.5.122	51257	143	0	1843.016397
A	1428	TCP	192.168.4.121	192.168.5.122	51258	143	0	1843.03086
X	1428	TCP	192.168.4.121	192.168.5.122	51258	143	0	1843.625238
A	1429	TCP	192.168.4.121	192.168.5.122	51259	143	0	1843.643244
X	1429	TCP	192.168.4.121	192.168.5.122	51259	143	0	1843.680687
A	1430	TCP	192.168.4.121	192.168.5.122	51260	143	0	1843.699094
X	1430	TCP	192.168.4.121	192.168.5.122	51260	143	0	1843.735456
A	1431	TCP	192.168.2.111	192.168.2.113	3340	139	0	1843.969674
X	1431	TCP	192.168.2.111	192.168.2.113	3340	139	0	1843.977719
A	1432	TCP	192.168.4.121	65.54.81.24	51261	80	0	1844.396888
X	1421	TCP	192.168.4.121	65.54.81.30	51254	80	0	1844.474877
A	1433	TCP	192.168.2.113	64.90.206.110	4543	80	0	1849.779825
A	1434	TCP	192.168.2.113	64.90.206.110	4544	80	0	1849.780124
A	1435	TCP	192.168.2.113	64.90.206.135	4545	80	0	1851.060819
A	1436	TCP	192.168.4.121	65.54.81.62	51262	80	0	1859.390933
X	1432	TCP	192.168.4.121	65.54.81.24	51261	80	0	1859.468291
X	1416	TCP	192.168.4.121	65.55.53.233	51251	80	0	1862.102987
X	1372	TCP	192.168.4.121	207.46.216.54	51240	80	0	1862.103145
A	1437	TCP	192.168.1.101	67.212.184.66	4246	80	0	1865.694816
A	1438	TCP	192.168.1.101	205.178.187.13	4247	80	0	1867.210119
A	1439	TCP	192.168.1.101	205.178.187.11	4248	80	0	1867.281816
A	1440	TCP	192.168.4.121	65.54.81.62	51263	80	0	1874.39069
X	1436	TCP	192.168.4.121	65.54.81.62	51262	80	0	1874.42207
X	1362	TCP	192.168.2.113	209.237.150.20	4542	80	0	1876.14987
A	1441	TCP	192.168.2.112	192.168.5.122	4945	110	0	1877.803666
X	1441	TCP	192.168.2.112	192.168.5.122	4945	110	0	1877.81886
A	1442	TCP	192.168.2.109	192.168.5.122	4036	80	0	1878.617657
A	1443	TCP	192.168.2.109	174,132,188,162	4037	80	0	1878.618075
A	1444	TCP	192.168.3.114	174,132,188,162	2693	80	0	1879.547202
X	1439	TCP	192.168.1.101	205.178.187.11	4248	80	0	1881.23276
A	1445	TCP	192.168.2.106	208.116.9.82	3190	80	0	1883.790084
A	1446	TCP	192.168.2.106	208.116.9.82	3189	80	0	1883.790104
A	1447	TCP	192.168.2.106	82.98.86.161	3191	80	0	1883.855818
A	1448	TCP	192.168.2.106	208.116.9.82	3192	80	0	1884.078535
A	1449	TCP	192.168.2.106	208.116.9.82	3193	80	0	1884.12714
X	1446	TCP	192.168.2.106	208.116.9.82	3189	80	0	1884.131935
A	1450	TCP	192.168.2.106	82.98.86.161	3194	80	0	1884.167567
X	1445	TCP	192.168.2.106	208.116.9.82	3190	80	0	1884.180154
X	1447	TCP	192.168.2.106	82.98.86.161	3191	80	0	1884.319874
A	1451	TCP	192.168.2.106	208.116.9.82	3195	80	0	1884.477586
A	1452	TCP	192.168.2.106	208.116.9.82	3196	80	0	1884.505558
X	1448	TCP	192.168.2.106	208.116.9.82	3192	80	0	1884.528685
X	1449	TCP	192.168.2.106	208.116.9.82	3193	80	0	1884.559913
A	1453	TCP	192.168.2.106	72.14.204.157	3197	80	0	1884.571655
A	1454	TCP	192.168.2.106	208.116.9.82	3198	80	0	1884.588759
A	1455	TCP	192.168.2.106	208.116.9.82	3199	80	0	1884.619712
X	1451	TCP	192.168.2.106	208.116.9.82	3195	80	0	1884.64161
X	1452	TCP	192.168.2.106	208.116.9.82	3196	80	0	1884.673842
X	1450	TCP	192.168.2.106	82.98.86.161	3194	80	0	1884.701109
A	1456	TCP	192.168.2.106	208.116.9.82	3200	80	0	1884.70279
A	1457	TCP	192.168.2.106	72.14.204.96	3201	80	0	1884.717326
A	1458	TCP	192.168.2.106	208.116.9.82	3202	80	0	1884.733399
X	1454	TCP	192.168.2.106	208.116.9.82	3198	80	0	1884.75679
X	1455	TCP	192.168.2.106	208.116.9.82	3199	80	0	1884.787769
A	1459	TCP	192.168.2.106	208.116.9.82	3203	80	0	1884.819092
X	1456	TCP	192.168.2.106	208.116.9.82	3200	80	0	1884.87596
A	1460	TCP	192.168.2.106	208.116.9.82	3204	80	0	1884.937884
A	1461	TCP	192.168.2.106	208.116.9.82	3205	80	0	1884.947493
A	1462	TCP	192.168.2.106	79.110.88.15	3206	80	0	1884.973876
X	1458	TCP	192.168.2.106	208.116.9.82	3202	80	0	1884.993388
X	1459	TCP	192.168.2.106	208.116.9.82	3203	80	0	1885.002369
A	1463	TCP	192.168.2.106	208.116.9.82	3207	80	0	1885.059059
X	1460	TCP	192.168.2.106	208.116.9.82	3204	80	0	1885.115561
X	1461	TCP	192.168.2.106	208.116.9.82	3205	80	0	1885.123555
A	1464	TCP	192.168.2.106	79.110.88.15	3208	80	0	1885.517677
X	1462	TCP	192.168.2.106	79.110.88.15	3206	80	0	1885.636228
A	1465	TCP	192.168.2.106	82.98.86.161	3209	80	0	1885.773257
X	1464	TCP	192.168.2.106	79.110.88.15	3208	80	0	1885.893811
A	1466	TCP	192.168.4.120	208.73.210.28	2588	80	0	1886.018078
X	1465	TCP	192.168.2.106	82.98.86.161	3209	80	0	1886.057961
A	1467	TCP	192.168.2.106	82.98.86.161	3210	80	0	1886.058956
X	1467	TCP	192.168.2.106	82.98.86.161	3210	80	0	1886.345529
A	1468	TCP	192.168.2.106	82.98.86.161	3211	80	0	1886.34649
X	1468	TCP	192.168.2.106	82.98.86.161	3211	80	0	1886.640155
A	1469	TCP	192.168.2.106	82.98.86.161	3212	80	0	1886.640796
X	1469	TCP	192.168.2.106	82.98.86.161	3212	80	0	1886.920695
A	1470	TCP	192.168.2.106	87.106.19.146	3213	80	0	1887.046839
X	1470	TCP	192.168.2.106	87.106.19.146	3213	80	0	1887.330896
A	1471	TCP	192.168.2.106	208.116.9.82	3214	80	0	1888.046653
X	1463	TCP	192.168.2.106	208.116.9.82	3207	80	0	1888.100428
A	1472	TCP	192.168.2.106	65.61.156.43	3215	80	0	1888.161802
X	1471	TCP	192.168.2.106	208.116.9.82	3214	80	0	1888.214856
A	1473	TCP	192.168.2.108	74.55.1.4	1279	80	0	1888.30104
A	1474	TCP	192.168.2.106	65.61.156.41	3216	80	0	1888.329167
X	1472	TCP	192.168.2.106	65.61.156.43	3215	80	0	1888.406722
X	1474	TCP	192.168.2.106	65.61.156.41	3216	80	0	1888.595114
A	1475	TCP	192.168.4.121	65.54.81.62	51264	80	0	1889.390177
X	1440	TCP	192.168.4.121	65.54.81.62	51263	80	0	1889.421845
A	1476	TCP	192.168.1.104	192.168.5.122	15934	143	0	1890.839613
X	1476	TCP	192.168.1.104	192.168.5.122	15934	143	0	1890.864699
A	1477	TCP	192.168.1.104	192.168.5.122	15935	143	0	1890.86736
X	1477	TCP	192.168.1.104	192.168.5.122	15935	143	0	1890.892424
A	1478	TCP	192.168.1.105	192.168.5.122	16826	110	0	1891.397794
X	1478	TCP	192.168.1.105	192.168.5.122	16826	110	0	1891.412639
A	1479	TCP	192.168.1.103	192.168.1.101	1772	139	0	1894.497235
X	1479	TCP	192.168.1.103	192.168.1.101	1772	139	0	1894.50611
X	1370	TCP	192.168.1.104	178.32.87.172	15933	80	0	1896.924181
X	1411	TCP	192.168.2.110	184.51.176.80	4007	80	0	1897.304547
X	1409	TCP	192.168.2.110	173.222.140.32	4005	80	0	1897.759758
X	1408	TCP	192.168.2.110	12.129.19.128	4004	80	0	1901.74776
X	1412	TCP	192.168.2.110	142.166.14.85	4008	80	0	1901.862903
A	1480	TCP	192.168.4.121	65.54.81.171	51265	80	0	1904.39
X	1475	TCP	192.168.4.121	65.54.81.62	51264	80	0	1904.467397
X	1374	TCP	192.168.1.103	208,113,162,153	1762	80	0	1907.511227
A	1481	TCP	192.168.2.108	192.168.5.122	1280	110	0	1910.274248
X	1481	TCP	192.168.2.108	192.168.5.122	1280	110	0	1910.290301
A	1482	TCP	192.168.4.121	65.54.81.210	51266	80	0	1919.389337
X	1480	TCP	192.168.4.121	65.54.81.171	51265	80	0	1919.467636
A	1483	TCP	192.168.2.113	64.90.206.110	4546	80	0	1919.633654
A	1484	TCP	192.168.2.113	64.90.206.110	4547	80	0	1919.633854
X	1433	TCP	192.168.2.113	64.90.206.110	4543	80	0	1919.721195
X	1434	TCP	192.168.2.113	64.90.206.110	4544	80	0	1919.724444
A	1485	TCP	192.168.2.113	64.90.206.135	4548	80	0	1920.60375
X	1435	TCP	192.168.2.113	64.90.206.135	4545	80	0	1920.690586
X	1420	TCP	192.168.2.110	192.168.5.122	4011	80	0	1929.009663
X	1407	TCP	192.168.2.110	64.94.104.143	4003	80	0	1933.311776
A	1486	TCP	192.168.2.106	192.168.2.113	3217	139	0	1933.552516
X	1486	TCP	192.168.2.106	192.168.2.113	3217	139	0	1933.56091
A	1487	TCP	192.168.4.120	72.9.144.119	2589	80	0	1933.869511
X	1424	TCP	192.168.2.110	142.166.14.77	4014	80	0	1933.909418
X	1422	TCP	192.168.2.110	69.84.133.138	4012	80	0	1933.957365
A	1488	TCP	192.168.4.121	65.54.81.171	51267	80	0	1934.392595
X	1482	TCP	192.168.4.121	65.54.81.210	51266	80	0	1934.469903
X	1438	TCP	192.168.1.101	205.178.187.13	4247	80	0	1939.611878
A	1489	TCP	192.168.2.110	192.168.2.113	4015	139	0	1944.463238
X	1489	TCP	192.168.2.110	192.168.2.113	4015	139	0	1944.471122
A	1490	TCP	192.168.2.110	69.84.133.138	4016	80	0	1948.33754
A	1491	TCP	192.168.4.121	65.54.81.62	51268	80	0	1949.38843
X	1488	TCP	192.168.4.121	65.54.81.171	51267	80	0	1949.46568
A	1492	TCP	192.168.2.113	64.90.206.110	4549	80	0	1952.46002
X	1483	TCP	192.168.2.113	64.90.206.110	4546	80	0	1952.547202
X	1484	TCP	192.168.2.113	64.90.206.110	4547	80	0	1952.550704
A	1493	TCP	192.168.2.110	142.166.14.86	4017	80	0	1952.695419
A	1494	TCP	192.168.2.113	64.90.206.135	4550	80	0	1953.377935
X	1485	TCP	192.168.2.113	64.90.206.135	4548	80	0	1953.467124
A	1495	TCP	192.168.2.113	64.90.206.136	4551	80	0	1957.534266
A	1496	TCP	192.168.4.121	65.54.81.30	51269	80	0	1964.388346
X	1491	TCP	192.168.4.121	65.54.81.62	51268	80	0	1964.46595
X	1417	TCP	192.168.2.110	12.129.19.153	4010	80	0	1966.225921
A	1497	TCP	192.168.4.118	192.168.4.119	4621	139	0	1966.279859
X	1497	TCP	192.168.4.118	192.168.4.119	4621	139	0	1966.292733
A	1498	TCP	192.168.4.118	192.168.4.119	4622	139	0	1966.29256
X	1498	TCP	192.168.4.118	192.168.4.119	4622	139	0	1966.306591
X	1442	TCP	192.168.2.109	192.168.5.122	4036	80	0	1978.8151
A	1499	TCP	192.168.4.121	65.54.81.30	51270	80	0	1979.388043
X	1496	TCP	192.168.4.121	65.54.81.30	51269	80	0	1979.42022
X	1453	TCP	192.168.2.106	72.14.204.157	3197	80	0	1984.756069
X	1457	TCP	192.168.2.106	72.14.204.96	3201	80	0	1984.89598
X	1466	TCP	192.168.4.120	208.73.210.28	2588	80	0	1986.880483
X	1423	TCP	192.168.2.110	72.21.91.19	4013	80	0	1992.474553
A	1500	TCP	192.168.4.121	65.55.15.125	51271	80	0	1993.25417
A	1501	TCP	192.168.4.121	65.54.81.24	51272	80	0	1994.387166
X	1499	TCP	192.168.4.121	65.54.81.30	51270	80	0	1994.464765
A	1502	TCP	192.168.2.112	192.168.5.122	4946	110	0	1997.814372
X	1502	TCP	192.168.2.112	192.168.5.122	4946	110	0	1997.829555
